Index	Time	Actin Mean base+0	Actin Area base+0	Actin Mean base+1	Actin Area base+1	Actin Mean base+2	Actin Area base+2	Actin Mean base+3	Actin Area base+3	Actin Mean base+4	Actin Area base+4	Actin Mean base+5	Actin Area base+5	Actin Mean base+6	Actin Area base+6	Actin Mean base+7	Actin Area base+7	Actin Mean base+8	Actin Area base+8	Actin Mean base+9	Actin Area base+9	Actin Mean base+10	Actin Area base+10	Actin Mean base+11	Actin Area base+11	Actin Mean base+12	Actin Area base+12	Actin Mean base+13	Actin Area base+13	Actin Mean base+14	Actin Area base+14	Actin Mean base+15	Actin Area base+15	Actin Mean base+16	Actin Area base+16	Actin Mean base+17	Actin Area base+17	Actin Mean base+18	Actin Area base+18
60.000	0.000	1891.692	3.516	1996.206	2.786	1630.190	0.464	1528.579	0.420	1500.348	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
61.000	0.000	2176.564	2.587	1680.277	3.671	1477.328	1.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62.000	0.000	2699.670	2.078	2446.134	1.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
63.000	0.000	1826.880	1.835	1610.762	0.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
64.000	0.000	2379.208	1.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65.000	0.000	2279.585	2.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66.000	0.000	1851.533	2.322	1716.774	2.344	1722.972	2.366	1722.973	5.661	1651.430	3.648	1529.723	1.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67.000	0.000	1928.612	2.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68.000	0.000	2202.990	2.189	2215.576	2.189	2083.840	2.764	1978.743	1.636	2020.343	2.189	2012.881	2.786	2015.583	5.727	1965.583	5.307	1916.982	2.410	1880.896	1.061	1856.230	1.636	1834.256	0.951	1793.327	1.150	1755.333	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69.000	0.000	2467.557	3.847	2832.651	5.196	2556.269	2.300	2281.883	2.278	2049.599	3.029	1887.607	1.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70.000	0.000	1809.973	1.658	1553.700	1.327	1563.250	0.531	1567.111	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
71.000	0.000	1660.766	1.039	1579.333	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
72.000	0.000	2659.848	2.034	2268.281	2.123	2014.052	2.145	2054.528	0.796	2087.111	0.199	2138.050	0.442	2190.158	1.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73.000	0.000	1863.264	1.924	1482.723	1.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74.000	0.000	2919.592	2.653	2870.117	2.454	2846.957	2.034	2699.188	5.174	2255.216	9.331	2074.937	5.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75.000	0.000	1856.970	1.481	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76.000	0.000	2043.796	4.555	2010.506	5.727	1921.087	5.329	1837.514	3.914	1778.766	3.118	1752.131	3.029	1793.795	4.422	1907.382	7.120	1942.303	4.444	1848.918	2.963	1785.253	5.152	1757.116	3.626	1719.690	0.641	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
